2024-03-13 13:35:08,924 INFO    MainThread:34806 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-13 13:35:08,925 INFO    MainThread:34806 [wandb_setup.py:_flush():76] Configure stats pid to 34806
2024-03-13 13:35:08,925 INFO    MainThread:34806 [wandb_setup.py:_flush():76] Loading settings from /home/danielcarias/.config/wandb/settings
2024-03-13 13:35:08,925 INFO    MainThread:34806 [wandb_setup.py:_flush():76] Loading settings from /home/danielcarias/Documents/Estudo NN/Estudo/CNN/first_project/wandb/settings
2024-03-13 13:35:08,925 INFO    MainThread:34806 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-13 13:35:08,925 INFO    MainThread:34806 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-13 13:35:08,925 INFO    MainThread:34806 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'CNN.py', 'program_abspath': '/home/danielcarias/Documents/Estudo NN/Estudo/CNN/first_project/CNN.py', 'program': '/home/danielcarias/Documents/Estudo NN/Estudo/CNN/first_project/CNN.py'}
2024-03-13 13:35:08,925 INFO    MainThread:34806 [wandb_init.py:_log_setup():526] Logging user logs to /home/danielcarias/Documents/Estudo NN/Estudo/CNN/first_project/wandb/run-20240313_133508-q5l81csp/logs/debug.log
2024-03-13 13:35:08,925 INFO    MainThread:34806 [wandb_init.py:_log_setup():527] Logging internal logs to /home/danielcarias/Documents/Estudo NN/Estudo/CNN/first_project/wandb/run-20240313_133508-q5l81csp/logs/debug-internal.log
2024-03-13 13:35:08,925 INFO    MainThread:34806 [wandb_init.py:init():566] calling init triggers
2024-03-13 13:35:08,926 INFO    MainThread:34806 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'num_conv_blocks': 2, 'dataset': 'CatDogFull', 'epochs': 15, 'units_shape': 10, 'TrivialAugmentWide': False, 'loss_fn': 'BCELoss'}
2024-03-13 13:35:08,926 INFO    MainThread:34806 [wandb_init.py:init():616] starting backend
2024-03-13 13:35:08,926 INFO    MainThread:34806 [wandb_init.py:init():620] setting up manager
2024-03-13 13:35:08,928 INFO    MainThread:34806 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-13 13:35:08,930 INFO    MainThread:34806 [wandb_init.py:init():628] backend started and connected
2024-03-13 13:35:08,935 INFO    MainThread:34806 [wandb_init.py:init():720] updated telemetry
2024-03-13 13:35:08,937 INFO    MainThread:34806 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-13 13:35:09,562 INFO    MainThread:34806 [wandb_run.py:_on_init():2262] communicating current version
2024-03-13 13:35:09,715 INFO    MainThread:34806 [wandb_run.py:_on_init():2271] got version response 
2024-03-13 13:35:09,716 INFO    MainThread:34806 [wandb_init.py:init():804] starting run threads in backend
2024-03-13 13:35:09,882 INFO    MainThread:34806 [wandb_run.py:_console_start():2241] atexit reg
2024-03-13 13:35:09,882 INFO    MainThread:34806 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-13 13:35:09,882 INFO    MainThread:34806 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-13 13:35:09,883 INFO    MainThread:34806 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-13 13:35:09,883 INFO    MainThread:34806 [wandb_init.py:init():847] run started, returning control to user process
2024-03-13 13:35:15,514 WARNING MsgRouterThr:34806 [router.py:message_loop():77] message_loop has been closed
